X,Y
-240.0,-16.0
-240.0,-32.0
-240.0,-48.0
-240.0,-64.0
-240.0,-80.0
-240.0,-96.0
-240.0,-112.0
-240.0,-128.0
-240.0,-144.0
-240.0,-160.0
-240.0,-176.0
-240.0,-192.0
-240.0,-208.0
-240.0,-224.0
-224.0,-240.0
-208.0,-256.0
-192.0,-272.0
-176.0,-288.0
-160.0,-304.0
-144.0,-320.0
-128.0,-336.0
-112.0,-352.0
-96.0,-368.0
-80.0,-384.0
-64.0,-400.0
-48.0,-416.0
-32.0,-432.0
-16.0,-448.0
0.0,-464.0
16.0,-480.0
32.0,-496.0
48.0,-512.0
64.0,-528.0
80.0,-544.0
96.0,-560.0
112.0,-576.0
128.0,-592.0
144.0,-608.0
160.0,-624.0
176.0,-640.0
192.0,-656.0
208.0,-672.0
224.0,-688.0
240.0,-704.0
256.0,-720.0
272.0,-736.0
288.0,-752.0
304.0,-768.0
320.0,-784.0
336.0,-784.0
352.0,-784.0
368.0,-784.0
384.0,-784.0
400.0,-784.0
416.0,-784.0
432.0,-784.0
448.0,-784.0
464.0,-784.0
480.0,-784.0
496.0,-784.0
512.0,-784.0
528.0,-784.0
544.0,-784.0
560.0,-784.0
576.0,-784.0
592.0,-784.0
608.0,-784.0
624.0,-784.0
640.0,-784.0
656.0,-784.0
672.0,-784.0
688.0,-784.0
704.0,-784.0
720.0,-784.0
736.0,-784.0
752.0,-784.0
768.0,-784.0
784.0,-784.0
800.0,-784.0
816.0,-784.0
832.0,-784.0
848.0,-784.0
864.0,-784.0
880.0,-784.0
896.0,-784.0
912.0,-784.0
928.0,-784.0
944.0,-784.0
960.0,-784.0
976.0,-784.0
992.0,-784.0
1008.0,-784.0
1024.0,-784.0
1040.0,-784.0
1056.0,-784.0
1072.0,-784.0
1088.0,-784.0
1104.0,-784.0
1120.0,-784.0
1136.0,-784.0
1152.0,-784.0
1168.0,-784.0
1184.0,-784.0
1200.0,-784.0
1216.0,-784.0
1232.0,-784.0
1232.0,784.0
1216.0,784.0
1200.0,784.0
1184.0,784.0
1168.0,784.0
1152.0,784.0
1136.0,784.0
1120.0,784.0
1104.0,784.0
1088.0,784.0
1072.0,784.0
1056.0,784.0
1040.0,784.0
1024.0,784.0
1008.0,784.0
992.0,784.0
976.0,784.0
960.0,784.0
944.0,784.0
928.0,784.0
912.0,784.0
896.0,784.0
880.0,784.0
864.0,784.0
848.0,784.0
832.0,784.0
816.0,784.0
800.0,784.0
784.0,784.0
768.0,784.0
752.0,784.0
736.0,784.0
720.0,784.0
704.0,784.0
688.0,784.0
672.0,784.0
656.0,784.0
640.0,784.0
624.0,784.0
608.0,784.0
592.0,784.0
576.0,784.0
560.0,784.0
544.0,784.0
528.0,784.0
512.0,784.0
496.0,784.0
480.0,784.0
464.0,784.0
448.0,784.0
432.0,784.0
416.0,784.0
400.0,784.0
384.0,784.0
368.0,784.0
352.0,784.0
336.0,784.0
320.0,784.0
304.0,768.0
288.0,752.0
272.0,736.0
256.0,720.0
240.0,704.0
224.0,688.0
208.0,672.0
192.0,656.0
176.0,640.0
160.0,624.0
144.0,608.0
128.0,592.0
112.0,576.0
96.0,560.0
80.0,544.0
64.0,528.0
48.0,512.0
32.0,496.0
16.0,480.0
0.0,464.0
-16.0,448.0
-32.0,432.0
-48.0,416.0
-64.0,400.0
-80.0,384.0
-96.0,368.0
-112.0,352.0
-128.0,336.0
-144.0,320.0
-160.0,304.0
-176.0,288.0
-192.0,272.0
-208.0,256.0
-224.0,240.0
-240.0,224.0
-240.0,208.0
-240.0,192.0
-240.0,176.0
-240.0,160.0
-240.0,144.0
-240.0,128.0
-240.0,112.0
-240.0,96.0
-240.0,80.0
-240.0,64.0
-240.0,48.0
-240.0,32.0
-240.0,16.0
